#,Day,Date,Weekday,Unit,Time,Type,Platforms,Pillar,PreRecord,Topic,Hook (RO),Status,Notes
41,D6,2026-05-23,Szo,U6,18:00,X-CLIP,X (Twitter),P5,Igen,Thread: Telegram VIP scam steps,Thread: cum recunoști Telegram VIP scam.,Planned,
42,D6,2026-05-23,Szo,U7,20:00,VID-EVE,TikTok + IG Reels + YT Shorts + FB Reels,P3,Igen,Generációs reakciók (bunica/frate/șef),Reacții generaționale la «Bitcoin».,Planned,
43,D7,2026-05-24,V,U1,07:00,VID-AM,TikTok + IG Reels + YT Shorts + FB Reels,P1,Nem,Heti előrejelzés — 3 esemény,3 lucruri de urmărit săptămâna care vine.,Planned,
44,D7,2026-05-24,V,U2,09:00,SNAP-AM,Snapchat Spotlight,P3,Nem,Coffee + book recommendation crypto,Cartea pe care o citesc azi.,Planned,
45,D7,2026-05-24,V,U3,11:00,LI-TXT,LinkedIn,P2,Igen,1 thing nimeni nu îți spune despre wallet-uri,Hot vs cold + use case real.,Planned,
46,D7,2026-05-24,V,U4,13:00,VID-PM,TikTok + IG Reels + YT Shorts + FB Reels,P2,Igen,3 piros zászló kezdőknek,Dacă auzi una din astea 3 — FUGI.,Planned,
47,D7,2026-05-24,V,U5,16:00,SNAP-PM,Snapchat Spotlight,P3,Nem,Coffee shop convo recap,Conversație crypto recapitulată.,Planned,
48,D7,2026-05-24,V,U6,18:00,X-CLIP,X (Twitter),P2,Igen,Thread: stablecoin pentru români,Thread: stablecoin — diaspora use case.,Planned,
49,D7,2026-05-24,V,U7,20:00,VID-EVE,TikTok + IG Reels + YT Shorts + FB Reels,P3,Igen,Crypto Twitter karakterek (4 típus),Tipuri de oameni în crypto Twitter — pe toate le joc.,Planned,
50,D8,2026-05-25,H,U1,07:00,VID-AM,TikTok + IG Reels + YT Shorts + FB Reels,P1,Nem,Hétfői hír-dump — weekend recap,Weekend recap: 3 lucruri care s-au mișcat în crypto.,Planned,
51,D8,2026-05-25,H,U2,09:00,SNAP-AM,Snapchat Spotlight,P3,Nem,Walking + thinking aloud about RO crypto,Gând despre crypto România.,Planned,
52,D8,2026-05-25,H,U3,11:00,LI-TXT,LinkedIn,P2,Igen,ANAF crypto 2026 — quick guide,10% impozit + ce trebuie să știi.,Planned,
53,D8,2026-05-25,H,U4,13:00,VID-PM,TikTok + IG Reels + YT Shorts + FB Reels,P5,Igen,Fake AURA / fake support DM,NOI NU vă scriem niciodată primii pe DM.,Planned,
54,D8,2026-05-25,H,U5,16:00,SNAP-PM,Snapchat Spotlight,P3,Nem,Watching a competitor video — react,Reacție la un video competitor.,Planned,
55,D8,2026-05-25,H,U6,18:00,X-CLIP,X (Twitter),P2,Igen,Thread: hot vs cold wallet,Thread: când folosești care.,Planned,
56,D8,2026-05-25,H,U7,20:00,VID-EVE,TikTok + IG Reels + YT Shorts + FB Reels,P6,Igen,Q&A sticker — kezdő kérdések,Lăsați-mi întrebări — răspund mâine.,Planned,
57,D9,2026-05-26,K,U1,07:00,VID-AM,TikTok + IG Reels + YT Shorts + FB Reels,P1,Nem,Aznapi top hír,Știrea zilei din crypto — 30 de secunde.,Planned,
58,D9,2026-05-26,K,U2,09:00,SNAP-AM,Snapchat Spotlight,P3,Nem,Phone tour — apps I use daily,"Aplicațiile mele zilnice (TradingView, AURA, etc.).",Planned,
59,D9,2026-05-26,K,U3,11:00,LI-TXT,LinkedIn,P2,Igen,De ce diaspora are nevoie de stablecoin,RO diaspora remittance case study.,Planned,
60,D9,2026-05-26,K,U4,13:00,VID-PM,TikTok + IG Reels + YT Shorts + FB Reels,P2,Igen,BTC vs ETH 45 mp,"Diferența între BTC și ETH, fără jargon.",Planned,
61,D9,2026-05-26,K,U5,16:00,SNAP-PM,Snapchat Spotlight,P3,Nem,Trying a new tool — screen record,Tool nou testat — quick reaction.,Planned,
62,D9,2026-05-26,K,U6,18:00,X-CLIP,X (Twitter),P5,Igen,Thread: 5 fake AURA red flags,Thread: cum recunoști AURA fals.,Planned,
63,D9,2026-05-26,K,U7,20:00,VID-EVE,TikTok + IG Reels + YT Shorts + FB Reels,P3,Igen,POV: birou crypto — meeting,"POV: stai în meeting, dar verifici BTC pe sub masă.",Planned,
64,D10,2026-05-27,Sze,U1,07:00,VID-AM,TikTok + IG Reels + YT Shorts + FB Reels,P1,Nem,Wednesday BNR / EU regulation,Ce a zis regulatorul azi — pe înțelesul tău.,Planned,
65,D10,2026-05-27,Sze,U2,09:00,SNAP-AM,Snapchat Spotlight,P3,Nem,Quick rant — un singur thing about scams,Rant scurt despre un scam.,Planned,
66,D10,2026-05-27,Sze,U3,11:00,LI-TXT,LinkedIn,P2,Igen,Cum răspund la «crypto e Ponzi?»,Răspuns onest în 3 puncte.,Planned,
67,D10,2026-05-27,Sze,U4,13:00,VID-PM,TikTok + IG Reels + YT Shorts + FB Reels,P5,Igen,Telegram VIP signal scam,«Grup VIP» și signal — cum recunoști capcana.,Planned,
68,D10,2026-05-27,Sze,U5,16:00,SNAP-PM,Snapchat Spotlight,P3,Nem,Friend Q&A — voice memo,Întrebare de la prieten.,Planned,
69,D10,2026-05-27,Sze,U6,18:00,X-CLIP,X (Twitter),P2,Igen,Thread: ANAF crypto 2026,Thread: cum plătești impozit pe crypto.,Planned,
70,D10,2026-05-27,Sze,U7,20:00,VID-EVE,TikTok + IG Reels + YT Shorts + FB Reels,P3,Igen,Reacția când prietenul zice 50%/lună,Reacția mea când îmi zice cineva 50% pe lună.,Planned,
71,D11,2026-05-28,Cs,U1,07:00,VID-AM,TikTok + IG Reels + YT Shorts + FB Reels,P1,Nem,Heti félidős market check,"La jumătatea săptămânii: cine câștigă, cine pierde.",Planned,
72,D11,2026-05-28,Cs,U2,09:00,SNAP-AM,Snapchat Spotlight,P3,Nem,Behind-the-scenes — pregătesc videoul,Behind-the-scenes pillar shoot.,Planned,
73,D11,2026-05-28,Cs,U3,11:00,LI-TXT,LinkedIn,P2,Igen,Lecția din lansarea TikTok crypto în 2026,"Algo, audience, retention insights.",Planned,
74,D11,2026-05-28,Cs,U4,13:00,VID-PM,TikTok + IG Reels + YT Shorts + FB Reels,P2,Igen,Crypto adózás RO 2026,Cum se plătește impozitul pe crypto în România.,Planned,
75,D11,2026-05-28,Cs,U5,16:00,SNAP-PM,Snapchat Spotlight,P3,Nem,Random book pickup + page reaction,Cartea pe care am ridicat-o azi.,Planned,
76,D11,2026-05-28,Cs,U6,18:00,X-CLIP,X (Twitter),P2,Igen,Thread: DeFi în 5 tweets,Thread: DeFi pentru începători.,Planned,
77,D11,2026-05-28,Cs,U7,20:00,VID-EVE,TikTok + IG Reels + YT Shorts + FB Reels,P3,Igen,POV: te magyarázod a grátar-on,POV: ești ăla care explică crypto la grătar.,Planned,
78,D12,2026-05-29,P,U1,07:00,VID-AM,TikTok + IG Reels + YT Shorts + FB Reels,P1,Nem,Friday news dump — 5 hír,"5 lucruri din crypto, în 60 de secunde.",Planned,
79,D12,2026-05-29,P,U2,09:00,SNAP-AM,Snapchat Spotlight,P3,Nem,Quick poll — bull or bear today?,Întrebare rapidă: bull or bear azi?,Planned,
80,D12,2026-05-29,P,U3,11:00,LI-TXT,LinkedIn,P2,Igen,1 podcast care a schimbat felul în care văd crypto,Recomandare carte/podcast.,Planned,
81,D12,2026-05-29,P,U4,13:00,VID-PM,TikTok + IG Reels + YT Shorts + FB Reels,P5,Igen,Rug pull RO/CEE eset,Un rug pull real — cum a funcționat.,Planned,
82,D12,2026-05-29,P,U5,16:00,SNAP-PM,Snapchat Spotlight,P3,Nem,Walking + casual market take,Mers + take casual despre piață.,Planned,
83,D12,2026-05-29,P,U6,18:00,X-CLIP,X (Twitter),P5,Igen,Thread: rug pull anatomy,Thread: cum se face un rug pull.,Planned,
84,D12,2026-05-29,P,U7,20:00,VID-EVE,TikTok + IG Reels + YT Shorts + FB Reels,P4,Igen,POV: tipuri de prieteni «crypto»,Tipuri de prieteni când le zici că ești în crypto.,Planned,
85,D13,2026-05-30,Szo,U1,07:00,VID-AM,TikTok + IG Reels + YT Shorts + FB Reels,P1,Nem,Weekend market wrap,Weekend recap + 1 alt-coin de urmărit.,Planned,
86,D13,2026-05-30,Szo,U2,09:00,SNAP-AM,Snapchat Spotlight,P3,Nem,Reading article + reacting,Articol crypto + reacție.,Planned,
87,D13,2026-05-30,Szo,U3,11:00,LI-TXT,LinkedIn,P2,Igen,De ce «volume strategy» nu este pentru toată lumea,Quality vs quantity debate.,Planned,
88,D13,2026-05-30,Szo,U4,13:00,VID-PM,TikTok + IG Reels + YT Shorts + FB Reels,P2,Igen,Wallet bunica portofeljével,Ce e un wallet — explicat cu portofelul de la bunica.,Planned,
89,D13,2026-05-30,Szo,U5,16:00,SNAP-PM,Snapchat Spotlight,P3,Nem,Cooking + thinking aloud about crypto,Gătit + monolog crypto.,Planned,
90,D13,2026-05-30,Szo,U6,18:00,X-CLIP,X (Twitter),P2,Igen,Thread: DCA vs lump sum data,Thread: DCA vs lump sum în date reale.,Planned,
91,D13,2026-05-30,Szo,U7,20:00,VID-EVE,TikTok + IG Reels + YT Shorts + FB Reels,P3,Igen,POV: la nuntă unchiul kérdez BTC,"POV: la nuntă, unchiul te întreabă de Bitcoin.",Planned,
92,D14,2026-05-31,V,U1,07:00,VID-AM,TikTok + IG Reels + YT Shorts + FB Reels,P1,Nem,Heti előrejelzés — 3 esemény,3 lucruri de urmărit săptămâna care vine.,Planned,
93,D14,2026-05-31,V,U2,09:00,SNAP-AM,Snapchat Spotlight,P3,Nem,Quick demo — wallet feature,Demo rapid: o feature wallet.,Planned,
94,D14,2026-05-31,V,U3,11:00,LI-TXT,LinkedIn,P2,Igen,Cum măsor success pe TikTok (nu views),"Save rate, share, follow ratio.",Planned,
95,D14,2026-05-31,V,U4,13:00,VID-PM,TikTok + IG Reels + YT Shorts + FB Reels,P2,Igen,Crypto 101 Ep.6 — DeFi simply,DeFi în 60 de secunde — fără hype.,Planned,
96,D14,2026-05-31,V,U5,16:00,SNAP-PM,Snapchat Spotlight,P3,Nem,Quick reaction — un breaking news headline,Breaking news — reacție rapidă.,Planned,
97,D14,2026-05-31,V,U6,18:00,X-CLIP,X (Twitter),P2,Igen,Thread: KYC de ce protejează,Thread: KYC e prietenul tău.,Planned,
98,D14,2026-05-31,V,U7,20:00,VID-EVE,TikTok + IG Reels + YT Shorts + FB Reels,P3,Igen,End-of-month vibe POV (31),"Pe 31, când vezi cât ai cheltuit pe «doar un coin».",Planned,
99,D15,2026-06-01,H,U1,07:00,VID-AM,TikTok + IG Reels + YT Shorts + FB Reels,P1,Nem,Hétfői hír-dump — weekend recap,Weekend recap: 3 lucruri care s-au mișcat în crypto.,Planned,
100,D15,2026-06-01,H,U2,09:00,SNAP-AM,Snapchat Spotlight,P3,Nem,Family / friend reaction snippet,Reacția familiei la munca mea.,Planned,
101,D15,2026-06-01,H,U3,11:00,LI-TXT,LinkedIn,P2,Igen,Lessons from a viral moment (or lack thereof),Post-mortem onest.,Planned,
102,D15,2026-06-01,H,U4,13:00,VID-PM,TikTok + IG Reels + YT Shorts + FB Reels,P5,Igen,Fake AURA app Play Store,Aplicația falsă AURA — cum o recunoști.,Planned,
103,D15,2026-06-01,H,U5,16:00,SNAP-PM,Snapchat Spotlight,P3,Nem,End-of-workday wrap thoughts,Gânduri end-of-day creator.,Planned,
104,D15,2026-06-01,H,U6,18:00,X-CLIP,X (Twitter),P5,Igen,Thread: romance scam + crypto,Thread: romance scam — pași și apărare.,Planned,
105,D15,2026-06-01,H,U7,20:00,VID-EVE,TikTok + IG Reels + YT Shorts + FB Reels,P6,Igen,Comment coinul tău (prompt),Comentează coinul tău — mâine îți zic 1 lucru factual.,Planned,
106,D16,2026-06-02,K,U1,07:00,VID-AM,TikTok + IG Reels + YT Shorts + FB Reels,P1,Nem,Aznapi top hír,Știrea zilei din crypto — 30 de secunde.,Planned,
107,D16,2026-06-02,K,U2,09:00,SNAP-AM,Snapchat Spotlight,P3,Nem,Coffee shop crypto convo overhead,Conversație crypto auzită la cafenea.,Planned,
108,D16,2026-06-02,K,U3,11:00,LI-TXT,LinkedIn,P2,Igen,De ce am ales să nu fac «signal posts»,Etica conținutului crypto.,Planned,
109,D16,2026-06-02,K,U4,13:00,VID-PM,TikTok + IG Reels + YT Shorts + FB Reels,P2,Igen,Crypto 101 Ep.7 — stablecoins,Stablecoin — și de ce contează pentru români.,Planned,
110,D16,2026-06-02,K,U5,16:00,SNAP-PM,Snapchat Spotlight,P3,Nem,Recommendation: 1 podcast for tonight,Podcast recomandat pentru seară.,Planned,
111,D16,2026-06-02,K,U6,18:00,X-CLIP,X (Twitter),P2,Igen,Thread: gas fees explicate,Thread: gas fees în 5 tweets.,Planned,
112,D16,2026-06-02,K,U7,20:00,VID-EVE,TikTok + IG Reels + YT Shorts + FB Reels,P3,Igen,Apu pénzügyi mondatai amit most értek,Lucruri pe care le zicea tata — abia acum înțeleg.,Planned,
113,D17,2026-06-03,Sze,U1,07:00,VID-AM,TikTok + IG Reels + YT Shorts + FB Reels,P1,Nem,Wednesday BNR / EU regulation,Ce a zis regulatorul azi — pe înțelesul tău.,Planned,
114,D17,2026-06-03,Sze,U2,09:00,SNAP-AM,Snapchat Spotlight,P3,Nem,Reflection: 1 lucru am învățat azi,Lecția zilei despre crypto.,Planned,
115,D17,2026-06-03,Sze,U3,11:00,LI-TXT,LinkedIn,P2,Igen,Romania crypto adoption — surprised me,Romania surprise stat + cause.,Planned,
116,D17,2026-06-03,Sze,U4,13:00,VID-PM,TikTok + IG Reels + YT Shorts + FB Reels,P5,Igen,Romance scam + crypto,Romance scam + crypto — cum funcționează.,Planned,
117,D17,2026-06-03,Sze,U5,16:00,SNAP-PM,Snapchat Spotlight,P3,Nem,Live take — un coin în trending,Take live pe un coin trending.,Planned,
118,D17,2026-06-03,Sze,U6,18:00,X-CLIP,X (Twitter),P2,Igen,Thread: NFT real vs hype,Thread: NFT — ce a fost real.,Planned,
119,D17,2026-06-03,Sze,U7,20:00,VID-EVE,TikTok + IG Reels + YT Shorts + FB Reels,P3,Igen,Eu vs eu 2 évvel ezelőtt,Eu vs eu de acum 2 ani în crypto.,Planned,
120,D18,2026-06-04,Cs,U1,07:00,VID-AM,TikTok + IG Reels + YT Shorts + FB Reels,P1,Nem,Heti félidős market check,"La jumătatea săptămânii: cine câștigă, cine pierde.",Planned,
121,D18,2026-06-04,Cs,U2,09:00,SNAP-AM,Snapchat Spotlight,P3,Nem,Quick screen recording — fee compare,Fee compare AURA vs alt exchange.,Planned,
122,D18,2026-06-04,Cs,U3,11:00,LI-TXT,LinkedIn,P2,Igen,1 thing despre AURA pe care nu îți zice nimeni,Soft brand insight (no shilling).,Planned,
123,D18,2026-06-04,Cs,U4,13:00,VID-PM,TikTok + IG Reels + YT Shorts + FB Reels,P2,Igen,Crypto 101 Ep.8 — NFT debunk,NFT — ce e real și ce a fost hype.,Planned,
124,D18,2026-06-04,Cs,U5,16:00,SNAP-PM,Snapchat Spotlight,P3,Nem,Behind-the-scenes editing,Behind-the-scenes vágás.,Planned,
125,D18,2026-06-04,Cs,U6,18:00,X-CLIP,X (Twitter),P5,Igen,Thread: recovery scam,Thread: recovery scam — a doua undă.,Planned,
126,D18,2026-06-04,Cs,U7,20:00,VID-EVE,TikTok + IG Reels + YT Shorts + FB Reels,P3,Igen,POV: barátod aki mindent eladott mélypontnál,POV: prietenul tău care a vândut totul la fund.,Planned,
127,D19,2026-06-05,P,U1,07:00,VID-AM,TikTok + IG Reels + YT Shorts + FB Reels,P1,Nem,Friday news dump — 5 hír,"5 lucruri din crypto, în 60 de secunde.",Planned,
128,D19,2026-06-05,P,U2,09:00,SNAP-AM,Snapchat Spotlight,P3,Nem,Live chart move reaction,Reacție la o mișcare live de chart.,Planned,
129,D19,2026-06-05,P,U3,11:00,LI-TXT,LinkedIn,P2,Igen,Cum gândesc despre risk în 2026,Risk frame — macro context.,Planned,
130,D19,2026-06-05,P,U4,13:00,VID-PM,TikTok + IG Reels + YT Shorts + FB Reels,P5,Igen,Recovery scam,Recovery scam — al doilea atac după primul.,Planned,
131,D19,2026-06-05,P,U5,16:00,SNAP-PM,Snapchat Spotlight,P3,Nem,Pet snap + caption crypto pun,Pet + crypto pun.,Planned,
132,D19,2026-06-05,P,U6,18:00,X-CLIP,X (Twitter),P2,Igen,Thread: DAO basics,Thread: DAO în 4 tweets.,Planned,
133,D19,2026-06-05,P,U7,20:00,VID-EVE,TikTok + IG Reels + YT Shorts + FB Reels,P3,Igen,Tipuri de oameni la o petrecere crypto,Tipuri de oameni la o petrecere de crypto.,Planned,
134,D20,2026-06-06,Szo,U1,07:00,VID-AM,TikTok + IG Reels + YT Shorts + FB Reels,P1,Nem,Weekend market wrap,Weekend recap + 1 alt-coin de urmărit.,Planned,
135,D20,2026-06-06,Szo,U2,09:00,SNAP-AM,Snapchat Spotlight,P3,Nem,Question I got DM-ed today,O întrebare interesantă din DM.,Planned,
136,D20,2026-06-06,Szo,U3,11:00,LI-TXT,LinkedIn,P2,Igen,Half-month wrap — best și worst,Recap 15 zile creator life.,Planned,
137,D20,2026-06-06,Szo,U4,13:00,VID-PM,TikTok + IG Reels + YT Shorts + FB Reels,P2,Igen,Stablecoin diaszpórának,Diaspora HOW-TO: trimite bani acasă cu stablecoin.,Planned,
138,D20,2026-06-06,Szo,U5,16:00,SNAP-PM,Snapchat Spotlight,P3,Nem,Friend call recap — interesting take,Conversație telefonică interesantă.,Planned,
139,D20,2026-06-06,Szo,U6,18:00,X-CLIP,X (Twitter),P5,Igen,Thread: address poisoning,Thread: address poisoning — clipboard attack.,Planned,
140,D20,2026-06-06,Szo,U7,20:00,VID-EVE,TikTok + IG Reels + YT Shorts + FB Reels,P4,Igen,POV: expert vs începător stil diferit,POV: cum vorbește un expert vs un începător.,Planned,
141,D21,2026-06-07,V,U1,07:00,VID-AM,TikTok + IG Reels + YT Shorts + FB Reels,P1,Nem,Heti előrejelzés — 3 esemény,3 lucruri de urmărit săptămâna care vine.,Planned,
142,D21,2026-06-07,V,U2,09:00,SNAP-AM,Snapchat Spotlight,P3,Nem,Random thought — money mindset,Gând despre money mindset.,Planned,
143,D21,2026-06-07,V,U3,11:00,LI-TXT,LinkedIn,P2,Igen,De ce vorbesc cu părinții mei despre crypto,Family + finance — bridge story.,Planned,
144,D21,2026-06-07,V,U4,13:00,VID-PM,TikTok + IG Reels + YT Shorts + FB Reels,P5,Igen,Phishing email exchange,Email de la «exchange» — cum vezi că e phishing.,Planned,
145,D21,2026-06-07,V,U5,16:00,SNAP-PM,Snapchat Spotlight,P3,Nem,Late commute reflection,Reflectie pe drum spre casă.,Planned,
146,D21,2026-06-07,V,U6,18:00,X-CLIP,X (Twitter),P2,Igen,Thread: EU MiCA pentru români,Thread: EU MiCA — ce înseamnă 2026.,Planned,
147,D21,2026-06-07,V,U7,20:00,VID-EVE,TikTok + IG Reels + YT Shorts + FB Reels,P3,Igen,Reactia bunicii la wallet,Reacția bunicii când îi explic wallet digital.,Planned,
148,D22,2026-06-08,H,U1,07:00,VID-AM,TikTok + IG Reels + YT Shorts + FB Reels,P1,Nem,Hétfői hír-dump — weekend recap,Weekend recap: 3 lucruri care s-au mișcat în crypto.,Planned,
149,D22,2026-06-08,H,U2,09:00,SNAP-AM,Snapchat Spotlight,P3,Nem,Mid-shoot break — life update,Pauză shoot — viața de creator.,Planned,
150,D22,2026-06-08,H,U3,11:00,LI-TXT,LinkedIn,P2,Igen,Top 3 mistakes I see on Romanian crypto Twitter,Honest critique constructive.,Planned,
151,D22,2026-06-08,H,U4,13:00,VID-PM,TikTok + IG Reels + YT Shorts + FB Reels,P2,Igen,Crypto 101 Ep.9 — DAO basics,Ce e un DAO și de ce s-ar putea să-ți pese.,Planned,
152,D22,2026-06-08,H,U5,16:00,SNAP-PM,Snapchat Spotlight,P3,Nem,Food shop + price observation,Cumpărături + observație preț.,Planned,
153,D22,2026-06-08,H,U6,18:00,X-CLIP,X (Twitter),P5,Igen,Thread: fake giveaway,Thread: «trimite 1 ETH primești 2» NIMIC.,Planned,
154,D22,2026-06-08,H,U7,20:00,VID-EVE,TikTok + IG Reels + YT Shorts + FB Reels,P3,Igen,POV: copilul te întreabă unde sunt banii,POV: copilul te întreabă «unde sunt banii?».,Planned,
155,D23,2026-06-09,K,U1,07:00,VID-AM,TikTok + IG Reels + YT Shorts + FB Reels,P1,Nem,Aznapi top hír,Știrea zilei din crypto — 30 de secunde.,Planned,
